date,temperature_2m
2026-01-15 03:00:00+00:00,3.389
2026-01-15 04:00:00+00:00,3.289
2026-01-15 05:00:00+00:00,3.239
2026-01-15 06:00:00+00:00,3.1890001
2026-01-15 07:00:00+00:00,3.139
2026-01-15 08:00:00+00:00,3.1890001
2026-01-15 09:00:00+00:00,3.4390001
2026-01-15 10:00:00+00:00,4.139
2026-01-15 11:00:00+00:00,5.039
2026-01-15 12:00:00+00:00,5.739
2026-01-15 13:00:00+00:00,5.989
2026-01-15 14:00:00+00:00,5.989
2026-01-15 15:00:00+00:00,5.789
2026-01-15 16:00:00+00:00,5.334125
2026-01-15 17:00:00+00:00,4.65425
2026-01-15 18:00:00+00:00,4.149375
2026-01-15 19:00:00+00:00,4.5695
2026-01-15 20:00:00+00:00,4.4195
2026-01-15 21:00:00+00:00,4.2194996
2026-01-15 22:00:00+00:00,3.9695
2026-01-15 23:00:00+00:00,3.7195
2026-01-16 00:00:00+00:00,3.4195
2026-01-16 01:00:00+00:00,3.1195
2026-01-16 02:00:00+00:00,2.7695
2026-01-16 03:00:00+00:00,2.4695
2026-01-16 04:00:00+00:00,2.1695
2026-01-16 05:00:00+00:00,1.9195
2026-01-16 06:00:00+00:00,1.8195
2026-01-16 07:00:00+00:00,1.9695001
2026-01-16 08:00:00+00:00,2.2695
2026-01-16 09:00:00+00:00,2.7195
2026-01-16 10:00:00+00:00,3.3695
2026-01-16 11:00:00+00:00,4.1695
2026-01-16 12:00:00+00:00,4.7194996
2026-01-16 13:00:00+00:00,4.8195
2026-01-16 14:00:00+00:00,4.6695
2026-01-16 15:00:00+00:00,4.3694997
2026-01-16 16:00:00+00:00,3.9195
2026-01-16 17:00:00+00:00,3.3695
2026-01-16 18:00:00+00:00,2.9195
2026-01-16 19:00:00+00:00,2.6695
2026-01-16 20:00:00+00:00,2.5195
2026-01-16 21:00:00+00:00,2.3695
2026-01-16 22:00:00+00:00,2.1195
2026-01-16 23:00:00+00:00,1.8195
